completed_t2_flag,male,non_binary,single_t1,age_z,tenure_score_t1_z,total_approvals_t1_log_z,anthropomorphism_score_t1_z,intensity_avg_t1_z,companionship_use_t1_z,relational_t1_z,self_disclosure_select_avg_t1_z,chatbot_use_social_primary_flag_t1,well_being_avg_t1_z,intensity_avg_t2_z,companionship_use_t2_z,relational_t2_z,self_disclosure_select_avg_t2_z,well_being_avg_t2_z,time_inperson_z
0,0,1,0,0.9101661447102836,0.9038525351878244,1.6599308889584126,-1.3653654661129109,-1.5418885660640316,-0.3555829950036889,0.9911705877184126,-1.6356960703587813,0,-1.4725135157715823,,,,,,
1,1,0,0,0.4445436441326066,0.9038525351878244,0.6765216451035043,1.1074340931646207,0.6456548837781202,2.809907727435166,0.9911705877184126,1.0916797975960542,1,0.286649297934437,0.8770185833386741,1.390892584697074,1.010302471565581,1.277141287787824,1.1317393071053687,-0.7379116355216186
0,0,0,0,-0.5798258571382829,-0.4594103968661684,0.7868043775060695,-1.3653654661129109,-0.3207408912770826,-0.3555829950036889,-1.0080559469640418,-0.4992894591654961,0,-1.84947697574374,,,,,,
1,0,0,1,-0.4867013570227475,0.9038525351878244,1.436796645551284,-0.1289656864741449,1.6643604811757704,-0.3555829950036889,0.9911705877184126,1.3189611196983422,0,-2.8547128687515175,-1.4171016880388407,-1.1891152097339777,-0.9875479113951852,-1.440763959714756,-2.412852054270328,-1.955743244521583
0,0,0,0,1.3757886452879609,-0.4594103968661684,-0.301696699196659,0.4892342033452379,-0.9150468597865812,-0.3555829950036889,-1.0080559469640418,0.6371171527096334,0,-0.2159686489464154,,,,,,
0,1,0,0,-0.2073278566761413,-0.4594103968661684,1.8094766151964816,-0.7471655762935278,-1.3604792789519358,-0.3555829950036889,-1.0080559469640418,-2.5448213601316225,0,0.5379582709978995,,,,,,
1,1,0,0,-0.3935768569072121,-0.4594103968661684,1.0596239488519226,-0.1289656864741449,-1.096456146898677,-0.3555829950036889,0.9911705877184126,-1.6356960703587813,0,-1.84947697574374,0.0204479435827184,-0.3291126115902937,1.010302471565581,0.3711728720830549,-0.0497911469228365,-0.7379116355216186
0,0,1,1,0.537668144248142,0.9038525351878244,0.5563276417224073,0.4892342033452379,0.0892866076859808,2.809907727435166,0.9911705877184126,1.0916797975960542,1,-1.84947697574374,,,,,,
0,0,1,1,-0.3935768569072121,-0.4594103968661684,1.9168996691803075,0.4892342033452379,-0.6020053356897681,2.809907727435166,0.9911705877184126,1.3189611196983422,1,-1.221204541954193,,,,,,
1,1,0,1,3.2382786475986687,-0.4594103968661684,1.334013691615431,0.4892342033452379,-1.2634933040856853,-0.3555829950036889,-1.0080559469640418,0.1825545078232127,0,0.9149217309700568,0.3469954187242922,-0.3291126115902937,1.010302471565581,0.8888691095731699,1.6043514888584347,-1.3468274400216007
1,0,1,0,-0.3004523567916767,-0.4594103968661684,0.6469494742757009,1.7256339829840035,1.462677061870296,2.809907727435166,0.9911705877184126,1.3189611196983422,1,-1.221204541954193,1.5009269504549096,1.390892584697074,1.010302471565581,0.8888691095731699,-1.585780736379693,-1.955743244521583
1,0,0,1,-0.5798258571382829,0.9038525351878244,1.43404510344283,-0.1289656864741449,0.4377330519850849,-0.3555829950036889,0.9911705877184126,0.1825545078232127,0,-1.095550055799425,-1.4171016880388407,-1.1891152097339777,-0.9875479113951852,-1.440763959714756,-1.2313216002421232,-1.3468274400216007
1,1,0,0,0.6307926443636774,0.9038525351878244,-1.3281924446123898,0.4892342033452379,0.3032316325660287,-0.3555829950036889,-1.0080559469640418,1.3189611196983422,0,1.040576217878752,-0.4714767170302451,0.9608912856252324,-0.9875479113951852,-0.405371484346254,1.0135862614898723,-0.1289958310216364
0,0,0,0,-0.0210788564450704,0.9038525351878244,-0.1391606781342861,-0.1289656864741449,0.1676867268448141,-0.3555829950036889,0.9911705877184126,0.8643984748119214,0,1.1662307040335194,,,,,,
1,1,0,1,-0.6729503572538184,0.9038525351878244,1.356612786810015,-0.1289656864741449,-0.8947727275932029,-0.3555829950036889,0.9911705877184126,-1.1811334261542046,0,0.0353403241170469,-0.5859609983583698,1.390892584697074,1.010302471565581,0.5005969313585155,0.4228210348302294,-1.955743244521583
1,0,0,0,-0.3935768569072121,-0.4594103968661684,0.8980450234372748,-1.9835653559322937,-1.931641932833717,-0.3555829950036889,-1.0080559469640418,-2.7721026822339105,0,-1.598168001926351,-0.4714767170302451,-0.7591139106621356,-0.9875479113951852,-0.6642196032854475,-0.7587094191979756,1.088835777978328
